Codigo Inventario,Registro Contable,Fecha Movimiento,Cod. Almacén,Nom. Almacen,Cod. Producto,Nombre Producto,Cod. Comercial,Codigo Unidad Medida,Nombre Unidad Medida,Clase,Sub Clase,Sub Sub Clase,Marca,Temporada,Tipo Operacion,Nombre Tipo Operacion,Cod. Ref,Cod. Tipo Documento,Tipo Documento,Nro. Serie,Nro. Documento,Cod. Doc. Final,Nro. Serie Doc. Final,Nro. Doc. Final,Movimiento,Unid. Medida Registro,Cantidad,Factor,Unidad Medida Base,Cantidad Entrada,Costo Entrada,Total Entrada,Cantidad Salida,Costo Salida,Total Salida,Saldo Cantidad,Saldo Costo,Saldo Total,U.M. Sin Convertir,Cantidad Sin Convertir,Cantidad Secundaria Entrada,Cantidad Secundaria Salida,Saldo Cantidad Secundaria,Tipo Existencia,Nombre Existencia,Cod. Centro Costos,Nombre Centro Costos,Cod. Sub Centro Costos,Nombre Sub Centro Costos,Cod. Sub Sub Centro Costos,Nombre Sub Sub Centro Costos,Magen Venta,Numero de Documento Auxiliar,Nombre Auxiliar
INV000281334,INS7_LD04-00068,2025-04-01 05:00:00.000,A15,ALMACEN MANCORA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,16.0,Saldo Inicial,,  ,,,,,,,Entrada,KG,1.025,1.0,Kilogramos,1.025,4.384,4.4936,0.0,0.0,0.0,1.025,4.384,4.4936,KG,1.025,0.0,0.0,0.0,1.0,MERCADERÍA,6.0,TIENDA MANCORA,601.0,VENTA MANCORA,60106.0,COSTO DE COMPRA,0.0,,
INV000281422,INS2_LD04-00034,2025-04-01 05:00:00.000,A03,ALMACEN CHALAN GRAU,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,16.0,Saldo Inicial,,  ,,,,,,,Entrada,KG,1.265,1.0,Kilogramos,1.265,4.384,5.54576,0.0,0.0,0.0,1.265,4.384,5.54576,KG,1.265,0.0,0.0,0.0,1.0,MERCADERÍA,2.0,TIENDA GRAU,201.0,VENTA GRAU,20103.0,COSTO DE COMPRA,0.0,,
INV000281424,INS5_LD04-00129,2025-04-01 05:00:00.000,A06,ALMACEN CHALAN MEGA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,16.0,Saldo Inicial,,  ,,,,,,,Entrada,KG,1.3,1.0,Kilogramos,1.3,4.38416,5.699408,0.0,0.0,0.0,1.3,4.38416,5.699408,KG,1.3,0.0,0.0,0.0,1.0,MERCADERÍA,5.0,TIENDA MEGA,501.0,VENTA MEGA,50106.0,COSTO DE COMPRA,0.0,,
INV000281759,INGN_LD04-00894,2025-04-01 05:00:00.000,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,16.0,Saldo Inicial,,  ,,,,,,,Entrada,KG,1.79,1.0,Kilogramos,1.79,4.384,7.84736,0.0,0.0,0.0,7.79,3.8571707317073174,30.04736,KG,1.79,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,,
INV000283260,INGN_LD04-01057,2025-04-01 05:00:00.000,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,6.0,1.0,Kilogramos,6.0,3.7,22.2,0.0,0.0,0.0,6.0,3.7,22.2,KG,6.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000300968,INS6_LD04-00183,2025-04-01 07:00:47.933,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,42.0,ENTRADA POR AJUSTE,,  ,,,,,,,Entrada,KG,70.55,1.0,Kilogramos,70.55,4.81,339.3455,0.0,0.0,0.0,70.55,4.8100000000000005,339.3455,KG,70.55,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,704.0,COSTO DE COMPRA,70401.0,COSTO DE COMPRA,0.0,,
INV000296602,INGN_LD04-01749,2025-04-01 08:02:48.297,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,17.0,Otros,,  ,,,,,,,Salida,KG,3.0,1.0,Kilogramos,0.0,0.0,0.0,3.0,3.85717,11.57151,4.79,3.8571711899791232,18.47585,KG,3.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,,
INV000296602,INGN_LD04-01749,2025-04-01 08:02:48.297,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,17.0,Otros,,  ,,,,,,,Entrada,KG,3.0,1.0,Kilogramos,3.0,3.85717,11.57151,0.0,0.0,0.0,3.0,3.85717,11.57151,KG,3.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,,
INV000297438,INGN_LD04-01759,2025-04-01 08:49:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,53.0,P SEMITERM REPOSTERIA,,  ,,,,,,,Salida,KG,0.0012,1.0,Kilogramos,0.0,0.0,0.0,0.0012,3.85717,0.004629,2.9988,3.857169867947179,11.566881,KG,0.0012,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120103.0,REPOSTERIA MAT PRIMA Y SUMINIS IND,0.0,,
INV000279705,INGN_LD04-00875,2025-04-01 14:12:01.227,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,52.0,Consumo,,  ,,,,,,,Salida,KG,1.25,1.0,Kilogramos,0.0,0.0,0.0,1.25,3.85717,4.821462,3.54,3.8571714689265537,13.654387,KG,1.25,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10106.0,GASTOS ADMINISTRATIVOS,0.0,,
INV000279574,INGN_LD04-00874,2025-04-01 14:34:11.117,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,52.0,Consumo,,  ,,,,,,,Salida,KG,1.15,1.0,Kilogramos,0.0,0.0,0.0,1.15,3.85717,4.435745,2.39,3.857172384937238,9.218642,KG,1.15,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,,
INV000298744,INGN_LD04-00309,2025-04-01 16:27:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,58.0,P TERMINADO REPOSTERIA,,  ,,,,,,,Salida,KG,1.2,1.0,Kilogramos,0.0,0.0,0.0,1.2,3.85717,4.628604,1.7988,3.8571697798532356,6.938277,KG,1.2,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120103.0,REPOSTERIA MAT PRIMA Y SUMINIS IND,0.0,,
INV000283599,INS6_LD04-00058,2025-04-02 05:00:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,50.0,1.0,Kilogramos,50.0,4.8,240.0,0.0,0.0,0.0,120.55,4.805852343425965,579.3455,KG,50.0,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,704.0,COSTO DE COMPRA,70401.0,COSTO DE COMPRA,0.0,20612502863.0,ORANGE PERUVIAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
INV000284000,INGN_LD04-01252,2025-04-02 05:00:00.000,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,2.0,1.0,Kilogramos,2.0,3.7,7.4,0.0,0.0,0.0,4.39,3.7855676537585428,16.618642,KG,2.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000284003,INS2_LD04-00175,2025-04-02 05:00:00.000,A03,ALMACEN CHALAN GRAU,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,1.0,1.0,Kilogramos,1.0,3.7,3.7,0.0,0.0,0.0,2.265,4.082013245033113,9.24576,KG,1.0,0.0,0.0,0.0,1.0,MERCADERÍA,2.0,TIENDA GRAU,201.0,VENTA GRAU,20103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000297162,INPR_LD04-00178,2025-04-02 08:00:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,60.0,P SEMITERM CREMOLADAS,,  ,,,,,,,Salida,KG,38.4,1.0,Kilogramos,0.0,0.0,0.0,38.4,4.805852,184.544717,82.15,4.805852501521607,394.800783,KG,38.4,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,701.0,CREMOLADAS,70106.0,COSTO DE COMPRAS,0.0,,
INV000298008,INGN_LD04-00291,2025-04-02 08:10:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,53.0,P SEMITERM REPOSTERIA,,  ,,,,,,,Salida,KG,0.002,1.0,Kilogramos,0.0,0.0,0.0,0.002,3.85717,0.007714,1.7968,3.857169968833482,6.930563,KG,0.002,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120108.0,COSTO COMPRA,0.0,,
INV000303997,INPR_LD04-00959,2025-04-02 11:30:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,56.0,P TERMINADO HELADOS,,  ,,,,,,,Salida,KG,12.562,1.0,Kilogramos,0.0,0.0,0.0,12.562,4.805852,60.371113,69.588,4.80585258952693,334.42967,,,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,702.0,HELADOS,70206.0,COSTO DE COMPRA,0.0,,
INV000279708,INGN_LD04-00876,2025-04-02 14:19:14.600,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,52.0,Consumo,,  ,,,,,,,Salida,KG,1.125,1.0,Kilogramos,0.0,0.0,0.0,1.125,3.785567,4.258763,3.265,3.7855678407350686,12.359879,KG,1.125,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10106.0,GASTOS ADMINISTRATIVOS,0.0,,
INV000296606,INGN_LD04-01750,2025-04-02 15:08:19.347,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,17.0,Otros,,  ,,,,,,,Salida,KG,3.0,1.0,Kilogramos,0.0,0.0,0.0,3.0,3.785567,11.356701,0.265,3.7855773584905656,1.003178,KG,3.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,,
INV000296606,INGN_LD04-01750,2025-04-02 15:08:19.347,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,17.0,Otros,,  ,,,,,,,Entrada,KG,3.0,1.0,Kilogramos,3.0,3.785567,11.356701,0.0,0.0,0.0,4.7968,3.812388258839226,18.287264,KG,3.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,,
INV000283602,INS6_LD04-00061,2025-04-03 05:00:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,10.0,1.0,Kilogramos,10.0,4.8,48.0,0.0,0.0,0.0,79.588,4.8051172287279496,382.42967,KG,10.0,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,704.0,COSTO DE COMPRA,70401.0,COSTO DE COMPRA,0.0,20612502863.0,ORANGE PERUVIAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
INV000283997,INGN_LD04-01251,2025-04-03 05:00:00.000,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,4.0,1.0,Kilogramos,4.0,3.7,14.8,0.0,0.0,0.0,4.265,3.705317233294256,15.803178,KG,4.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000283998,INS2_LD04-00174,2025-04-03 05:00:00.000,A03,ALMACEN CHALAN GRAU,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,1.0,1.0,Kilogramos,1.0,3.7,3.7,0.0,0.0,0.0,3.265,3.965010719754977,12.94576,KG,1.0,0.0,0.0,0.0,1.0,MERCADERÍA,2.0,TIENDA GRAU,201.0,VENTA GRAU,20103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000283999,INS5_LD04-00200,2025-04-03 05:00:00.000,A06,ALMACEN CHALAN MEGA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,1.0,1.0,Kilogramos,1.0,3.7,3.7,0.0,0.0,0.0,2.3,4.086699130434782,9.399408,KG,1.0,0.0,0.0,0.0,1.0,MERCADERÍA,5.0,TIENDA MEGA,501.0,VENTA MEGA,50106.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000297383,INPR_LD04-00310,2025-04-03 08:20:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,60.0,P SEMITERM CREMOLADAS,,  ,,,,,,,Salida,KG,5.5,1.0,Kilogramos,0.0,0.0,0.0,5.5,4.805217,26.428693,74.088,4.805109828852176,356.000977,KG,5.5,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,701.0,CREMOLADAS,70106.0,COSTO DE COMPRAS,0.0,,
INV000297439,INGN_LD04-01760,2025-04-03 08:29:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,53.0,P SEMITERM REPOSTERIA,,  ,,,,,,,Salida,KG,0.0012,1.0,Kilogramos,0.0,0.0,0.0,0.0012,3.812388,0.004575,4.7956,3.8123882308783053,18.282689,KG,0.0012,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120103.0,REPOSTERIA MAT PRIMA Y SUMINIS IND,0.0,,
INV000298772,INGN_LD04-00336,2025-04-03 12:38:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,58.0,P TERMINADO REPOSTERIA,,  ,,,,,,,Salida,KG,1.2,1.0,Kilogramos,0.0,0.0,0.0,1.2,3.812388,4.574866,3.5956,3.8123884748025363,13.707824,KG,1.2,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120103.0,REPOSTERIA MAT PRIMA Y SUMINIS IND,0.0,,
INV000283607,INS6_LD04-00066,2025-04-04 05:00:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,30.0,1.0,Kilogramos,30.0,4.8,144.0,0.0,0.0,0.0,104.088,4.803637085927292,500.000977,KG,30.0,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,704.0,COSTO DE COMPRA,70401.0,COSTO DE COMPRA,0.0,20612502863.0,ORANGE PERUVIAN EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA
INV000283901,INGN_LD04-01249,2025-04-04 05:00:00.000,A02,ALMACEN CHALAN PLAZA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,5.0,1.0,Kilogramos,5.0,3.7,18.5,0.0,0.0,0.0,9.265,3.7024477064220185,34.303178,KG,5.0,0.0,0.0,0.0,1.0,MERCADERÍA,1.0,TIENDA PLAZA,101.0,VENTA PLAZA,10103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000283903,INS2_LD04-00172,2025-04-04 05:00:00.000,A03,ALMACEN CHALAN GRAU,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,1.0,1.0,Kilogramos,1.0,3.7,3.7,0.0,0.0,0.0,4.265,3.9028745603751465,16.64576,KG,1.0,0.0,0.0,0.0,1.0,MERCADERÍA,2.0,TIENDA GRAU,201.0,VENTA GRAU,20103.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000297387,INPR_LD04-00314,2025-04-04 08:00:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,60.0,P SEMITERM CREMOLADAS,,  ,,,,,,,Salida,KG,28.8,1.0,Kilogramos,0.0,0.0,0.0,28.8,4.803875,138.3516,75.288,4.803546076399958,361.649377,KG,28.8,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,701.0,CREMOLADAS,70106.0,COSTO DE COMPRAS,0.0,,
INV000297386,INPR_LD04-00313,2025-04-04 08:10:00.000,A07,ALMACEN FABRICA(INSUMOS),PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,60.0,P SEMITERM CREMOLADAS,,  ,,,,,,,Salida,KG,5.5,1.0,Kilogramos,0.0,0.0,0.0,5.5,4.803875,26.421312,69.788,4.803520146730097,335.228064,KG,5.5,0.0,0.0,0.0,1.0,MERCADERÍA,7.0,FABRICA,701.0,CREMOLADAS,70106.0,COSTO DE COMPRAS,0.0,,
INV000297443,INGN_LD04-01762,2025-04-04 08:14:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,53.0,P SEMITERM REPOSTERIA,,  ,,,,,,,Salida,KG,0.0016,1.0,Kilogramos,0.0,0.0,0.0,0.0016,3.812388,0.0061,3.594,3.812388425153033,13.701724,KG,0.0016,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120103.0,REPOSTERIA MAT PRIMA Y SUMINIS IND,0.0,,
INV000294245,INS7_LD04-00112,2025-04-04 11:18:00.000,A15,ALMACEN MANCORA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,2.0,Compra Nacional,,  ,,,,,,,Entrada,KG,3.0,1.0,Kilogramos,3.0,3.7,11.1,0.0,0.0,0.0,4.025,3.8741863354037265,15.5936,KG,3.0,0.0,0.0,0.0,1.0,MERCADERÍA,6.0,TIENDA MANCORA,601.0,VENTA MANCORA,60106.0,COSTO DE COMPRA,0.0,10474092611.0,VARGASMACHUCA ROJAS TOMAS IQUIQUE
INV000298788,INGN_LD04-00352,2025-04-04 13:07:00.000,A08,ALMACEN REPOSTERIA,PD00534,LIMON X KG,,1.0,Kilogramos,FRUTAS Y VERDURAS,VERDURAS,0.0,-,,58.0,P TERMINADO REPOSTERIA,,  ,,,,,,,Salida,KG,1.6,1.0,Kilogramos,0.0,0.0,0.0,1.6,3.812388,6.099821,1.994,3.812388665997994,7.601903,KG,1.6,0.0,0.0,0.0,1.0,MERCADERÍA,12.0,REPOSTERIA,1201.0,PRODUCCION,120103.0,REPOSTERIA MAT PRIMA Y SUMINIS IND,0.0,,
